Rows	0	2.5	5	7.5	10	12.5	15	17.5	20	22.5	25	27.5	30	32.5	35	37.5	40
dmrw	0.06854	0.07133	0.07260	0.07993	0.09711	0.16292	0.43989	0.69593	0.74954	0.72923	0.65975	0.49380	0.29538	0.14059	0.06501	0.03662	0.02541
02dmrd1	0.06602	0.06601	0.06569	0.07255	0.07803	0.12605	0.28078	0.44401	0.47754	0.43824	0.35528	0.23066	0.12733	0.06271	0.03357	0.02066	0.01286
03dmrd2	0.05257	0.06475	0.07201	0.07992	0.09817	0.15013	0.33827	0.49359	0.44502	0.35919	0.23256	0.13833	0.08053	0.04933	0.04080	0.02832	0.02129
04dmrt1	0.01705	0.01543	0.01879	0.01959	0.03134	0.06644	0.23349	0.42199	0.44418	0.32947	0.19617	0.09870	0.04665	0.02610	0.01895	0.01460	0.01359
05dmrt2	0.03609	0.03679	0.03754	0.04487	0.06008	0.11167	0.25417	0.39578	0.37810	0.30977	0.22293	0.12582	0.06759	0.02990	0.02706	0.01575	0.01492
06dmrd3	0.03234	0.04416	0.04969	0.04467	0.05025	0.08506	0.25966	0.45509	0.41818	0.29710	0.16018	0.06524	0.02992	0.01452	0.01068	0.00819	0.00767
07dmrd4	0.03148	0.03335	0.03202	0.03678	0.04011	0.06526	0.21740	0.41779	0.46757	0.43365	0.35101	0.22302	0.09581	0.04567	0.02561	0.01647	0.01531
08dmrd1d2	0.05744	0.06103	0.06713	0.07364	0.08210	0.10418	0.18534	0.22548	0.17889	0.11750	0.06874	0.03860	0.02284	0.01643	0.01525	0.01201	0.01616
09dmrd1t1	0.02488	0.02014	0.02104	0.02319	0.03210	0.05875	0.19575	0.36185	0.33533	0.22455	0.11401	0.05169	0.02266	0.01677	0.01098	0.01070	0.01105
10dmrd1t2	0.06689	0.06560	0.06202	0.05635	0.05530	0.06867	0.15505	0.23914	0.20922	0.15416	0.09486	0.05736	0.03209	0.02231	0.02461	0.02830	0.02486
11dmrd1d3	0.06043	0.07091	0.07047	0.06707	0.07075	0.10661	0.23986	0.24796	0.14757	0.07329	0.03942	0.02533	0.01555	0.01377	0.01136	0.01189	0.01419
12dmrd1d4	0.01709	0.01616	0.01849	0.02233	0.02755	0.04292	0.13402	0.24863	0.28134	0.25501	0.20557	0.12716	0.06758	0.03520	0.01961	0.01638	0.01451
13dmrd2t1	0.04142	0.04749	0.04956	0.04939	0.05405	0.07749	0.19667	0.32726	0.34181	0.27008	0.20896	0.13801	0.09162	0.06921	0.06432	0.06397	0.05764
